orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Vimperk,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",518,0.029647435897435896,0.41505791505791506,2022-04-25,24
Vodňany,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,789,0.06615242726586736,0.31432192648922685,2022-04-25,24
Blovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,231,0.01888180480627759,0.4199134199134199,2022-04-25,24
Domažlice,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,1002,0.024762752075919336,0.39221556886227543,2022-04-25,24
Horažďovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,224,0.019436008676789587,0.41517857142857145,2022-04-25,24
Horšovský Týn,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,379,0.025601188867873548,0.32981530343007914,2022-04-25,24
Klatovy,vysoké,nízké,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1478,0.029157624778062736,0.35047361299052776,2022-04-25,24
Kralovice,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,545,0.024232992441084927,0.381651376146789,2022-04-25,24
Nepomuk,vysoké,střední,nízké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,204,0.017581659915539085,0.4411764705882353,2022-04-25,24
Nýřany,střední,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1100,0.018906515872879462,0.3427272727272727,2022-04-25,24
Plzeň,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,11561,0.0593358653253952,0.32808580572614826,2022-04-25,24
Přeštice,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,471,0.020563195808775376,0.36942675159235666,2022-04-25,24
